Surface
                Beg                 ||                 End
      BBY        |       CZD        ||       CZD              BBY
1997-10-01 00:00 | 1998-01-01 00:00 || 1998-03-31 23:00 | 1998-05-30 23:00
2000-10-18 16:00 | 2001-01-12 00:00 || 2001-03-08 23:00 | 2001-04-05 23:00
2002-01-11 02:00 | 2001-12-16 00:00 || 2002-04-06 23:00 | 2002-05-22 23:00
2002-12-08 01:00 | 2002-12-09 00:00 || 2003-04-09 23:00 | 2003-04-11 23:00
2003-12-08 23:00 | 2003-12-13 22:00 || 2004-03-21 23:00 | 2004-03-24 23:00
2004-11-12 16:00 | 2004-11-11 00:00 || 2005-04-01 23:00 | 2005-05-30 23:00
2005-10-01 00:00 | 2005-11-15 00:00 || 2006-04-25 23:00 | 2006-05-30 23:00
2006-10-01 00:00 | 2006-12-01 00:00 || 2007-04-30 23:00 | 2007-05-30 23:00
2007-10-01 00:00 | 2007-11-21 00:00 || 2008-04-09 23:00 | 2008-05-29 23:00
2008-09-30 00:00 | 2008-11-08 00:00 || 2009-05-11 23:00 | 2009-05-30 23:00
2009-10-01 00:00 | 2009-11-06 00:00 || 2010-05-11 23:00 | 2010-05-30 23:00
2010-10-01 00:00 | 2010-11-02 00:00 || 2011-03-31 23:00 | 2011-05-30 23:00
2011-10-01 00:00 | 2011-11-16 00:00 || 2012-05-01 23:00 | 2012-05-29 23:00

BBY windprof dates
      Beg        |       End
1997-10-01 00:00 | 1998-05-30 22:00
2000-11-09 00:00 | 2001-04-05 22:00
2002-01-11 01:00 | 2002-05-21 22:00
2002-12-08 01:00 | 2003-03-04 22:00
2003-12-10 00:00 | 2004-03-24 22:00
2004-11-13 00:00 | 2005-05-30 22:00
2005-09-30 23:00 | 2006-05-30 22:00
2006-09-30 23:00 | 2007-05-30 22:00
2007-09-30 23:00 | 2008-05-29 22:00
2008-09-29 23:00 | 2009-05-30 22:00
2009-09-30 23:00 | 2010-05-28 22:00
2010-11-03 00:00 | 2011-05-30 22:00
2011-10-01 00:00 | 2012-05-29 22:00

